Rank,Player,Team,Seed,Proj Games,MPG,PPG,RPG,APG,SPG,BPG,Raw Score/G,Proj Total,Tier
55,Melvin Council Jr.,Kansas,4,2.8,34.8,12.9,4.8,5.1,1.1,0.3,24.2,67.8,Tier 3
56,Tyon Grant-Foster,Gonzaga,3,3.5,21.5,11.2,5,1.2,0.8,1.1,19.3,67.6,Tier 3
57,Trey McKenney,Michigan,1,5,21.5,9.6,2.6,0.9,0.4,0,13.5,67.5,Tier 3
58,Aden Holloway,Alabama,4,2.8,28.4,16.8,2.8,3.8,0.6,0,24,67.2,Tier 3
59,Christian Anderson,Texas Tech,5,2.1,38.4,18.9,3.6,7.6,1.3,0.3,31.7,66.6,Tier 3
60,Amari Allen,Alabama,4,2.8,28.4,11.7,7.1,3.1,1.1,0.7,23.7,66.4,Tier 3
61,Tre White,Kansas,4,2.8,31.4,13.8,6.7,1.8,0.6,0.4,23.3,65.2,Tier 3
62,Meleek Thomas,Arkansas,4,2.8,30,15.4,3.8,2.5,1.4,0.2,23.3,65.2,Tier 3
63,Chance Mallory,Virginia,3,3.5,24.2,9.5,3.7,3.6,1.6,0.1,18.5,64.8,Tier 3
64,Malik Thomas,Virginia,3,3.5,22.9,12.4,3.9,1.6,0.5,0.1,18.5,64.8,Tier 3
65,Cayden Boozer,Duke,1,5,21.8,7.1,2.1,2.8,0.8,0.1,12.9,64.5,Tier 3
66,Urban Klavzar,Florida,1,5,20.9,9.7,1.5,1.2,0.4,0.1,12.9,64.5,Tier 3
67,Tyler Tanner,Vanderbilt,5,2.1,33.2,19.1,3.6,5.1,2.4,0.4,30.6,64.3,Tier 3
68,Rienk Mast,Nebraska,4,2.8,28.9,13.5,5.8,2.9,0.4,0.3,22.9,64.1,Tier 3
69,Roddy Gayle Jr.,Michigan,1,5,20.5,7,3.2,1.4,0.8,0.4,12.8,64,Tier 3
70,Zuby Ejiofor,St. John's,5,2.1,29.6,16.3,7.1,3.5,1.2,2.1,30.2,63.4,Tier 3
71,Killyan Toure,Iowa State,2,4.2,24.7,8.1,3.2,2.2,1.4,0.2,15.1,63.4,Tier 3
72,AJ Dybantsa,BYU,6,1.7,34.6,25.3,6.7,3.8,1.1,0.4,37.3,63.4,Tier 3
73,Tomislav Ivisic,Illinois,3,3.5,25.2,10,5.5,1.6,0.3,0.6,18,63,Tier 3
74,Nick Boyd,Wisconsin,5,2.1,31.8,20.6,3.8,4.2,1.1,0,29.7,62.4,Tier 3
75,Nimari Burnett,Michigan,1,5,19.5,8.3,2.4,1.1,0.5,0.1,12.4,62,Tier 3
76,Dame Sarr,Duke,1,5,22.9,6.3,3.7,1,1,0.3,12.3,61.5,Tier 3
77,Sam Hoiberg,Nebraska,4,2.8,32.1,9.6,5.3,4.3,2.1,0.1,21.4,59.9,Tier 3
78,Aiden Sherrell,Alabama,4,2.8,23.7,11.1,6.1,1.1,0.5,2.3,21.1,59.1,Tier 3
79,Sam Lewis,Virginia,3,3.5,25.4,10.8,3.6,1.4,0.8,0.2,16.8,58.8,Tier 3
80,Mario Saint-Supery,Gonzaga,3,3.5,22.5,8.6,2.8,3.6,1.4,0.1,16.5,57.8,Tier 3
81,John Blackwell,Wisconsin,5,2.1,33.7,19,4.9,2.3,1.2,0.1,27.5,57.8,Tier 3
82,Duke Miles,Vanderbilt,5,2.1,29.5,16.5,3.2,4.5,2.7,0.2,27.1,56.9,Tier 3
83,Ugonna Onyenso,Virginia,3,3.5,18.5,6.7,5,0.6,0.6,3,15.9,55.6,Tier 3
84,Johann GrÃ¼nloh,Virginia,3,3.5,21.1,7.2,5.2,0.7,0.5,2.2,15.8,55.3,Tier 3
85,Nikolas Khamenia,Duke,1,5,19.6,5.8,3.4,1.1,0.6,0.1,11,55,Tier 3
86,C.J. Cox,Purdue,2,4.2,24.4,8.3,2.6,1.3,0.5,0.1,12.8,53.8,Tier 3
87,Billy Richmond III,Arkansas,4,2.8,27.1,11,4,2,1.1,0.9,19,53.2,Tier 3
88,Latrell Wrightsell Jr.,Alabama,4,2.8,26.9,12.8,3.1,2,1,0,18.9,52.9,Tier 3
89,Nolan Winter,Wisconsin,5,2.1,31.1,13.3,8.6,1.5,0.5,1.2,25.1,52.7,Tier 3
90,Jalen Warley,Gonzaga,3,3.5,21.4,6.8,4.5,1.9,1.5,0.3,15,52.5,Tier 3
91,Dallin Hall,Virginia,3,3.5,28.4,5.9,3.6,4.3,0.9,0.1,14.8,51.8,Tier 3
92,Eric Reibe,Connecticut,2,4.2,15,6.8,3.8,0.5,0.3,0.8,12.2,51.2,Tier 3
93,Zvonimir Ivisic,Illinois,3,3.5,17.8,7,4.8,0.3,0.3,2.1,14.5,50.8,Tier 3
94,Henri Veesaar,North Carolina,6,1.7,31.1,16.7,8.7,2,0.6,1.2,29.2,49.6,Tier 4
95,Davis Fogle,Gonzaga,3,3.5,16.2,8.4,3,1.4,0.8,0.5,14.1,49.4,Tier 4
96,Malique Ewin,Arkansas,4,2.8,20,9.6,5.4,0.8,0.6,1,17.4,48.7,Tier 4
97,Ja'Kobi Gillespie,Tennessee,6,1.7,34.5,18,2.8,5.5,2.1,0.2,28.6,48.6,Tier 4
98,Bryce Hopkins,St. John's,5,2.1,28.5,13.5,6.2,2,1.1,0.3,23.1,48.5,Tier 4
99,Jamarques Lawrence,Nebraska,4,2.8,28.3,9.7,2.5,4,0.9,0,17.1,47.9,Tier 4
100,Braden Frager,Nebraska,4,2.8,23.4,11.6,3.8,0.9,0.7,0.1,17.1,47.9,Tier 4
101,Nate Ament,Tennessee,6,1.7,30.2,17.5,6.6,2.5,1,0.5,28.1,47.8,Tier 4
102,Charles Bediako,Alabama,4,2.8,21.6,10,4.6,0.2,0.8,1.4,17,47.6,Tier 4
103,Nate Heise,Iowa State,2,4.2,24.3,4.7,4,1.6,0.9,0.1,11.3,47.5,Tier 4
104,Bryson Tiller,Kansas,4,2.8,25.9,8.2,6,1,0.3,1.3,16.8,47,Tier 4
105,Robert Wright III,BYU,6,1.7,34.8,18.2,3.5,4.7,1.2,0,27.6,46.9,Tier 4
106,Mikel Brown Jr.,Louisville,6,1.7,29.2,18.2,3.3,4.7,1.2,0.1,27.5,46.8,Tier 4
107,Ryan Conwell,Louisville,6,1.7,30.6,18.7,4.8,2.5,1.2,0.2,27.4,46.6,Tier 4
108,Jacari White,Virginia,3,3.5,17.4,8.8,2.3,1.2,0.5,0.1,12.9,45.2,Tier 4
109,Paulius Murauskas,Saint Mary's,7,1.5,32.5,18.8,7.7,2.2,0.6,0.5,29.8,44.7,Tier 4
110,LeJuan Watts,Texas Tech,5,2.1,27.5,11.5,6,2.5,0.7,0.2,20.9,43.9,Tier 4
111,Malik Reneau,Miami (FL),7,1.5,28.5,18.8,6.6,2,1,0.8,29.2,43.8,Tier 4
112,Emmanuel Innocenti,Gonzaga,3,3.5,23.6,5.8,3.7,1.7,1,0.3,12.5,43.8,Tier 4
113,Braeden Smith,Gonzaga,3,3.5,17.8,5.4,2.3,3.8,1,0,12.5,43.8,Tier 4
114,Berke Buyuktuncel,Nebraska,4,2.8,24,6.4,5.4,1.9,0.9,1,15.6,43.7,Tier 4
115,Dillon Mitchell,St. John's,5,2.1,27.7,8.2,7,3.1,1.3,0.7,20.3,42.6,Tier 4
116,Ben Humrichous,Illinois,3,3.5,22.7,6.1,4.1,0.8,0.4,0.7,12.1,42.4,Tier 4
