Team,Seed,Player,MPG,PPG,RPG,APG,SPG,BPG
St. John's,7,Ian Jackson,18.8,9.8,2.4,1.3,0.9,0.2
St. John's,7,Joson Sanon,21.3,8.3,2.6,0.7,0.5,0.2
St. John's,7,Dillon Mitchell,27.5,8.1,6.9,3.1,1.2,0.7
St. John's,7,Dylan Darling,20.4,7.3,2.4,2.4,1.3,0.1
St. John's,7,RubÃ©n Prey,10.4,4,2,0.9,0.5,0.8
St. John's,7,Lefteris Liotopoulos,8.3,3.3,1,0.4,0.2,0
St. John's,7,Sadiku Ibine Ayo,8.6,2,1.2,0.4,0.5,0.1
St. John's,7,Kelvin Odih,5.6,1.5,1.9,0.2,0.3,0.2
St. John's,7,Handje Tamba,2.4,0.7,0.3,0.3,0,0.4
St. John's,7,Fotis Konstantinidis,1.1,0.4,0.1,0.1,0,0
St. John's,7,Casper Pohto,4.5,0.3,0.7,0.2,0,0
BYU,7,AJ Dybantsa,34,24.8,6.7,3.8,1.1,0.4
BYU,7,Robert Wright III,34.8,18.4,3.5,4.7,1.3,0
BYU,7,Kennard Davis,28.2,7.7,2.7,1.2,1.1,0.2
BYU,7,Dawson Baker,19.8,7.5,1.7,0.5,0.5,0
BYU,7,Keba Keita,21.7,6.2,7,0.4,1.1,1.8
BYU,7,Aleksej KostiÄ,10.7,3.9,0.9,0.4,0.3,0
BYU,7,Mihailo Boskovic,13.2,3.3,2.1,0.7,0.2,0.4
BYU,7,Khadim Mboup,15,2.2,4.8,0.4,0.6,0.6
BYU,7,Tyler Mrus,10.2,2.2,1,0.3,0.2,0.1
BYU,7,Dominique Diomande,6,1.6,1.1,0.2,0.4,0
BYU,7,Abdullah Ahmed,12.5,1.5,3.1,0.4,0.1,1.5
BYU,7,Xavion Staton,4.9,0.6,0.4,0.3,0,0.6
BYU,7,Jared McGregor,1.3,0,0.3,0.3,0,0
