Team,Seed,Player,MPG,PPG,RPG,APG,SPG,BPG
Michigan State,2,Coen Carr,29,11.7,5.2,1.2,0.5,0.8
Michigan State,2,Carson Cooper,26.3,10.4,7.2,1.4,0.6,1
Michigan State,2,Kur Teng,17.1,7.5,2.1,1,0.3,0.1
Michigan State,2,Jordan Scott,20,6,3.1,1.1,0.7,0.4
Michigan State,2,Cameron Ward,15.5,5.2,4.4,0.3,0.4,0.5
Michigan State,2,Divine Ugochukwu,16.1,5.1,1.5,1.5,0.4,0.1
Michigan State,2,Trey Fort,9.9,3.7,1.2,0.6,0.2,0.2
Michigan State,2,Jesse McCulloch,7.8,2.5,1.4,0.2,0.1,0.5
Michigan State,2,Brennan Walton,1.4,0.5,0.4,0,0,0
Michigan State,2,Nick Sanders,1.6,0.5,0.1,0.1,0,0
Michigan State,2,Denham Wojcik,5.8,0.4,0.2,1.3,0.3,0
Michigan State,2,Colin Walton,1.3,0.3,0.3,0,0,0
Illinois,2,Keaton Wagler,33.4,18.1,5,4.3,0.9,0.3
Illinois,2,Andrej Stojakovic,26.5,13.5,4.6,1.1,0.4,0.5
Illinois,2,Kylan Boswell,31.4,13.4,4.1,3.4,0.8,0
Illinois,2,David Mirkovic,28.9,12.9,7.7,2.5,0.4,0.3
Illinois,2,Tomislav Ivisic,25.4,10.3,5.7,1.6,0.3,0.6
Illinois,2,Zvonimir Ivisic,17.5,6.9,4.8,0.3,0.3,2.2
Illinois,2,Ben Humrichous,22.5,6.3,4.1,0.8,0.4,0.7
Illinois,2,Jake Davis,20,5.8,2.1,0.7,0.3,0.2
Illinois,2,Mihailo Petrovic,6.4,1.9,0.8,1.3,0.2,0
Illinois,2,Brandon Lee,4.7,1.7,0.4,0.2,0.1,0
Illinois,2,AJ Redd,2.8,1.4,0.4,0,0,0
Illinois,2,Jason Jakstys,5.3,1.3,1.9,0.2,0.1,0.4
Illinois,2,Blake Fagbemi,4,0.2,1.2,0.4,0.1,0
Purdue,3,Braden Smith,34.1,14.7,3.7,8.7,1.8,0.2
Purdue,3,Fletcher Loyer,28.6,13.3,2.3,1.9,0.6,0
Purdue,3,Trey Kaufman-Renn,28,13.3,8.9,2.7,0.4,0.2
Purdue,3,Oscar Cluff,23.2,9.8,7.1,1.6,0.4,0.7
Purdue,3,C.J. Cox,24,8.7,2.4,1.3,0.6,0.1
Purdue,3,Daniel Jacobsen,14.5,6.4,3.6,0.4,0.1,1.4
Purdue,3,Omer Mayer,14.6,5.7,1.2,1.3,0.5,0
Purdue,3,Gicarri Harris,16.4,5,1.7,0.9,0.9,0
Purdue,3,Jack Benter,14.9,4.9,2.8,0.8,0.4,0.1
Purdue,3,Liam Murphy,7.7,2.3,1,0.3,0.1,0
Purdue,3,Aaron Fine,2.6,1.2,0,0.3,0,0
Purdue,3,Jace Rayl,1.9,0,0,0,0,0
Purdue,3,Jack Lusk,2.1,0,0.3,0,0,0
Iowa State,3,Milan Momcilovic,29.7,17,3.1,0.9,0.8,0.2
Iowa State,3,Joshua Jefferson,31.7,16.6,7.4,5.1,1.6,0.8
Iowa State,3,Tamin Lipsey,31.6,13.2,4.2,5,2.1,0
Iowa State,3,Killyan Toure,25.2,8.4,3.2,2.3,1.5,0.2
Iowa State,3,Blake Buchanan,24.1,8.2,5.9,1.5,0.6,1
Iowa State,3,Jamarion Batemon,14.9,6.8,1.2,0.4,0.6,0.1
Iowa State,3,Nate Heise,24.9,5.1,4,1.5,0.8,0.1
Iowa State,3,Dominick Nelson,9.4,4.2,1.1,0.3,0.4,0.2
Iowa State,3,Dominykas Pleta,10.9,4.2,2.1,0.5,0.3,0.3
Iowa State,3,Cade Kelderman,4.4,1.1,0.3,0.9,0.4,0
Iowa State,3,Xzavion Mitchell,2.9,1,0.3,0,0.1,0
Iowa State,3,Eric Mulder,4.2,0.9,1.6,0.2,0.3,0
Iowa State,3,Anthony Rise,1.3,0.3,0.6,0,0,0
Nebraska,3,Pryce Sandfort,33.1,18,4.8,1.9,1,0.3
Nebraska,3,Rienk Mast,28.6,13.6,6,3,0.4,0.3
Nebraska,3,Braden Frager,23.7,11.9,4.1,0.9,0.7,0.1
Nebraska,3,Jamarques Lawrence,27.9,9.9,2.6,4,0.9,0
Nebraska,3,Sam Hoiberg,31.9,9.6,5.2,4.4,2,0.1
Nebraska,3,Ugnius Jarusevicius,11,7,2,0,0,2
Nebraska,3,Berke Buyuktuncel,24.1,6.5,5.6,2,0.9,1.1
Nebraska,3,Connor Essegian,14,5.4,1.3,0.9,0.3,0
Nebraska,3,Cale Jacobsen,20,4.5,2.7,1.4,1.1,0.3
Nebraska,3,Jared Garcia,8.4,3,2.2,0.3,0.1,0.6
Nebraska,3,Leo Curtis,4.2,1.7,0.6,0.3,0.1,0.1
Nebraska,3,Kendall Blue,3.7,0.8,0.3,0.2,0,0
Nebraska,3,Justin Bolis,1.5,0.2,0.3,0.1,0.1,0.1
Texas Tech,3,Christian Anderson,38.6,19.1,3.7,7.7,1.3,0.2
Texas Tech,3,Donovan Atwell,34.6,13.3,3.2,0.7,1.2,0.1
Texas Tech,3,LeJuan Watts,27.8,11.7,5.9,2.6,0.7,0.2
Texas Tech,3,Jaylen Petty,29.6,9.3,3.9,2.1,0.6,0
Texas Tech,3,Luke Bamgboye,16.1,5.1,3.2,0.6,0.4,1.8
Texas Tech,3,Josiah Moseley,11.9,4.4,3.8,0.6,0.2,0.9
Texas Tech,3,Tyeree Bryan,17.7,3.9,2.8,0.6,0.4,0.2
Texas Tech,3,Leon Horner,8.6,2.4,2,0.1,0.2,0.2
Texas Tech,3,Marial Akuentok,6.6,1.4,2,0.2,0.1,0.3
Texas Tech,3,Nolan Groves,6.3,1,1.3,0.3,0.3,0
Texas Tech,3,Jazz Henderson,3.9,0.7,0.3,0.4,0,0
Texas Tech,3,Jack Francis,1.2,0,0.3,0,0,0
Gonzaga,4,Graham Ike,30.2,19.7,8.3,2.5,0.8,0.8
Gonzaga,4,Braden Huff,25.4,17.8,5.6,1.5,0.4,0.5
Gonzaga,4,Tyon Grant-Foster,21.5,11.1,5.1,1.1,0.8,1.1
Gonzaga,4,Mario Saint-Supery,22.3,8.4,2.7,3.6,1.3,0.1
Gonzaga,4,Davis Fogle,15.7,8.2,2.7,1.2,0.7,0.5
Gonzaga,4,Adam Miller,19.7,7.8,1.6,1,0.7,0
Gonzaga,4,Jalen Warley,21.6,7.1,4.6,1.9,1.6,0.3
Gonzaga,4,Emmanuel Innocenti,23,6,3.6,1.6,1,0.2
Gonzaga,4,Braeden Smith,18,5.5,2.4,3.9,1.1,0
Gonzaga,4,Steele Venters,15.1,5,1.3,1,0.6,0.1
Gonzaga,4,Noah Haaland,4.5,2,1.1,0.1,0.1,0
Gonzaga,4,Ismaila Diagne,7.6,1.2,2.6,0.2,0.2,0.6
